Start_Date,End_Date,First_Name,Last_Name,Party,Wiki_URL,Image_URL
04/30/1789,03/04/1797,George,Washington,Unaffiliated,https://en.wikipedia.org/wiki/Presidency_of_George_Washington,https://i.imgur.com/gk1cP2u.png
03/04/1797,03/04/1801,John,Adams,Federalist,https://en.wikipedia.org/wiki/Presidency_of_John_Adams,https://i.imgur.com/9FR7eva.png
03/04/1801,03/04/1809,Thomas,Jefferson,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_Thomas_Jefferson,https://i.imgur.com/aumfl2F.png
03/04/1809,03/04/1817,James,Madison,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_James_Madison,https://i.imgur.com/kx8BdCT.png
03/04/1817,03/04/1825,James,Monroe,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_James_Monroe,https://i.imgur.com/z6Yd9Lm.png
03/04/1825,03/04/1829,John,Adams,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_John_Quincy_Adams,https://i.imgur.com/4HLWKcB.png
03/04/1829,03/04/1837,Andrew,Jackson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson,https://i.imgur.com/mmTyKJ1.png
03/04/1837,03/04/1841,Martin,Van Buren,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Martin_Van_Buren,https://i.imgur.com/PCb7ly6.png
03/04/1841,04/04/1841,William Henry,Harrison,Whig,https://en.wikipedia.org/wiki/William_Henry_Harrison#Presidency_(1841),https://i.imgur.com/UgN4EA7.png
04/04/1841,03/04/1845,John,Tyler,Whig,https://en.wikipedia.org/wiki/Presidency_of_John_Tyler,https://i.imgur.com/rVoiW4X.png
03/04/1845,03/04/1849,James,Polk,Democratic,https://en.wikipedia.org/wiki/Presidency_of_James_K._Polk,https://i.imgur.com/i3euA9w.png
03/04/1849,07/09/1850,Zachary,Taylor,Whig,https://en.wikipedia.org/wiki/Presidency_of_Zachary_Taylor,https://i.imgur.com/kt92UVi.png
07/09/1850,03/04/1853,Millard,Fillmore,Whig,https://en.wikipedia.org/wiki/Presidency_of_Millard_Fillmore,https://i.imgur.com/oo5aw5x.png
03/04/1853,03/04/1857,Franklin,Pierce,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Franklin_Pierce,https://i.imgur.com/BZI7FTa.png
03/04/1857,03/04/1861,James,Buchanan,Democratic,https://en.wikipedia.org/wiki/Presidency_of_James_Buchanan,https://i.imgur.com/XLkIWAs.png
03/04/1861,04/15/1865,Abraham,Lincoln,Republican,https://en.wikipedia.org/wiki/Presidency_of_Abraham_Lincoln,https://i.imgur.com/qB4GVSv.png
04/15/1865,03/04/1869,Andrew,Johnson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Johnson,https://i.imgur.com/5kAZ3NJ.png
03/04/1869,03/04/1877,Ulysses,Grant,Republican,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant,https://i.imgur.com/drQysn9.png
03/04/1877,03/04/1881,Rutherford,Hayes,Republican,https://en.wikipedia.org/wiki/Presidency_of_Rutherford_B._Hayes,https://i.imgur.com/UqvMVTH.png
03/04/1881,09/19/1881,James,Garfield,Republican,"https://en.wikipedia.org/wiki/James_A._Garfield#Presidency,_1881",https://i.imgur.com/Wte60Q6.png
09/19/1881,03/04/1885,Chester,Arthur,Republican,https://en.wikipedia.org/wiki/Presidency_of_Chester_A._Arthur,https://i.imgur.com/3DAK1C1.png
03/04/1885,03/04/1889,Grover,Cleveland,Democratic,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland,https://i.imgur.com/h6b7Vw5.png
03/04/1889,03/04/1893,Benjamin,Harrison,Republican,https://en.wikipedia.org/wiki/Presidency_of_Benjamin_Harrison,https://i.imgur.com/ctHNmhA.png
03/04/1893,03/04/1897,Grover,Cleveland,Democratic,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland,https://i.imgur.com/18zBca0.png
03/04/1897,09/14/1901,William,McKinley,Republican,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley,https://i.imgur.com/hb94eO2.png
09/14/1901,03/04/1909,Theodore,Roosevelt,Republican,https://en.wikipedia.org/wiki/Presidency_of_Theodore_Roosevelt,https://i.imgur.com/12hJdg0.png
03/04/1909,03/04/1913,William,Taft,Republican,https://en.wikipedia.org/wiki/Presidency_of_William_Howard_Taft,https://i.imgur.com/Bl8oRVY.png
03/04/1913,03/04/1921,Woodrow,Wilson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Woodrow_Wilson,https://i.imgur.com/HQ1xV6H.png
03/04/1921,08/02/1923,Warren,Harding,Republican,https://en.wikipedia.org/wiki/Presidency_of_Warren_G._Harding,https://i.imgur.com/pj4oAjR.png
08/02/1923,03/04/1929,Calvin,Coolidge,Republican,https://en.wikipedia.org/wiki/Presidency_of_Calvin_Coolidge,https://i.imgur.com/QuzzGmm.png
03/04/1929,03/04/1933,Herbert,Hoover,Republican,https://en.wikipedia.org/wiki/Presidency_of_Herbert_Hoover,https://i.imgur.com/zpE50Pa.png
